index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00125707,-20,0.0336321,-216,-0.127298,8208,9.89599
1,10,1,0.00251414,8,0.0666974,-220,-0.132092,8200,9.88624
2,10,2,0.00377121,-12,0.0430793,-184,-0.0889446,8112,9.77902
3,10,3,0.00502828,8,0.0666974,-188,-0.0937388,8112,9.77902
4,10,4,0.00628536,-56,-0.00888039,-256,-0.17524,8112,9.77902
5,10,5,0.00754243,-8,0.0478029,-200,-0.108121,8164,9.84238
6,10,6,0.0087995,8,0.0666974,-240,-0.156063,8160,9.8375
7,10,7,0.0100566,-40,0.0100141,-200,-0.108121,8204,9.89112
8,10,8,0.0113136,-32,0.0194613,-224,-0.136887,8184,9.86675
9,10,9,0.0125707,-20,0.0336321,-168,-0.0697677,8196,9.88137
10,10,10,0.0138278,-20,0.0336321,-200,-0.108121,8104,9.76927
11,10,11,0.0150849,-32,0.0194613,-188,-0.0937388,8088,9.74977
12,11,0,0.0163419,-20,0.0336321,-216,-0.127298,8208,9.89599
13,11,1,0.017599,8,0.0666974,-220,-0.132092,8200,9.88624
14,11,2,0.0188561,-12,0.0430793,-184,-0.0889446,8112,9.77902
15,11,3,0.0201131,8,0.0666974,-188,-0.0937388,8112,9.77902
16,11,4,0.0213702,-56,-0.00888039,-256,-0.17524,8112,9.77902
17,11,5,0.0226273,-8,0.0478029,-200,-0.108121,8164,9.84238
18,11,6,0.0238843,8,0.0666974,-240,-0.156063,8160,9.8375
19,11,7,0.0251414,-40,0.0100141,-200,-0.108121,8204,9.89112
20,11,8,0.0263985,-32,0.0194613,-224,-0.136887,8184,9.86675
21,11,9,0.0276556,-20,0.0336321,-168,-0.0697677,8196,9.88137
22,11,10,0.0289126,-20,0.0336321,-200,-0.108121,8104,9.76927
23,11,11,0.0301697,-32,0.0194613,-188,-0.0937388,8088,9.74977
24,12,0,0.0314268,-56,-0.00888039,-208,-0.11771,8120,9.78876
25,12,1,0.0326838,-80,-0.037222,-216,-0.127298,8120,9.78876
26,12,2,0.0339409,-56,-0.00888039,-196,-0.103327,8056,9.71078
27,12,3,0.035198,-64,-0.0183276,-196,-0.103327,8112,9.77902
28,13,0,0.0364551,-56,-0.00888039,-204,-0.112916,8176,9.857
29,13,1,0.0377121,-80,-0.037222,-196,-0.103327,8216,9.90574
30,13,2,0.0389692,-72,-0.0277748,-200,-0.108121,8240,9.93498
31,13,3,0.0402263,-64,-0.0183276,-264,-0.184829,8200,9.88624
32,13,4,0.0414833,-64,-0.0183276,-240,-0.156063,8180,9.86187
33,13,5,0.0427404,-72,-0.0277748,-256,-0.17524,8200,9.88624
34,13,6,0.0439975,-40,0.0100141,-220,-0.132092,8208,9.89599
35,13,7,0.0452546,-96,-0.0561165,-224,-0.136887,8264,9.96422
36,14,0,0.0465116,-104,-0.0655637,-180,-0.0841503,8168,9.84725
37,14,1,0.0477687,-104,-0.0655637,-224,-0.136887,8060,9.71565
38,14,2,0.0490258,-120,-0.0844581,-240,-0.156063,7948,9.57918
39,14,3,0.0502828,-104,-0.0655637,-240,-0.156063,7992,9.6328
40,14,4,0.0515399,-80,-0.037222,-264,-0.184829,8100,9.76439
41,14,5,0.052797,-80,-0.037222,-204,-0.112916,8156,9.83263
42,14,6,0.0540541,-64,-0.0183276,-240,-0.156063,8248,9.94473
43,14,7,0.0553111,-80,-0.037222,-248,-0.165652,8200,9.88624
44,14,8,0.0565682,-48,0.000566833,-188,-0.0937388,8076,9.73515
45,14,9,0.0578253,-20,0.0336321,-216,-0.127298,8012,9.65717
46,15,0,0.0590823,-72,-0.0277748,-188,-0.0937388,7984,9.62305
47,15,1,0.0603394,-56,-0.00888039,-204,-0.112916,8096,9.75952
48,15,2,0.0615965,-64,-0.0183276,-188,-0.0937388,8200,9.88624
49,15,3,0.0628536,-72,-0.0277748,-208,-0.11771,8268,9.9691
50,15,4,0.0641106,-24,0.0289085,-136,-0.0314141,8328,10.0422
51,15,5,0.0653677,-12,0.0430793,-184,-0.0889446,8264,9.96422
52,16,0,0.0666248,-20,0.0336321,-128,-0.0218256,8136,9.80826
53,16,1,0.0678818,-32,0.0194613,-128,-0.0218256,7956,9.58893
54,16,2,0.0691389,-80,-0.037222,-136,-0.0314141,8028,9.67666
55,16,3,0.070396,-48,0.000566833,-144,-0.0410025,8136,9.80826
56,16,4,0.071653,-24,0.0289085,-136,-0.0314141,8192,9.87649
57,16,5,0.0729101,-16,0.0383557,-120,-0.0122372,8188,9.87162
58,16,6,0.0741672,-4,0.0525265,-120,-0.0122372,8112,9.77902
59,16,7,0.0754243,-24,0.0289085,-152,-0.0505909,8068,9.7254
60,17,0,0.0766813,-20,0.0336321,-120,-0.0122372,8068,9.7254
61,17,1,0.0779384,-24,0.0289085,-64,0.0548817,8056,9.71078
62,17,2,0.0791955,-4,0.0525265,-96,0.016528,8208,9.89599
63,17,3,0.0804525,-32,0.0194613,-96,0.016528,8316,10.0276
64,17,4,0.0817096,-28,0.0241849,-96,0.016528,8300,10.0081
65,17,5,0.0829667,-24,0.0289085,-136,-0.0314141,8188,9.87162
66,17,6,0.0842238,4,0.0619738,-204,-0.112916,8068,9.7254
67,17,7,0.0854808,-28,0.0241849,-144,-0.0410025,8056,9.71078
68,18,0,0.0867379,-72,-0.0277748,-152,-0.0505909,8232,9.92523
69,18,1,0.087995,-32,0.0194613,-104,0.00693962,8288,9.99347
70,18,2,0.089252,-64,-0.0183276,-188,-0.0937388,8224,9.91549
71,18,3,0.0905091,-40,0.0100141,-220,-0.132092,8112,9.77902
72,18,4,0.0917662,24,0.0855918,-224,-0.136887,8072,9.73028
73,18,5,0.0930233,-32,0.0194613,-216,-0.127298,8104,9.76927
74,18,6,0.0942803,-64,-0.0183276,-208,-0.11771,8160,9.8375
75,18,7,0.0955374,-32,0.0194613,-204,-0.112916,8156,9.83263
76,19,0,0.0967945,-48,0.000566833,-188,-0.0937388,8216,9.90574
77,19,1,0.0980515,-24,0.0289085,-264,-0.184829,8196,9.88137
78,19,2,0.0993086,-56,-0.00888039,-248,-0.165652,8132,9.80338
79,19,3,0.100566,-56,-0.00888039,-264,-0.184829,8080,9.74002
80,19,4,0.101823,-64,-0.0183276,-264,-0.184829,8032,9.68154
81,19,5,0.10308,-72,-0.0277748,-264,-0.184829,8080,9.74002
82,19,6,0.104337,-56,-0.00888039,-256,-0.17524,8136,9.80826
83,19,7,0.105594,-64,-0.0183276,-296,-0.223182,8144,9.81801
84,20,0,0.106851,-48,0.000566833,-280,-0.204006,8172,9.85212
85,20,1,0.108108,-48,0.000566833,-288,-0.213594,8140,9.81313
86,20,2,0.109365,-72,-0.0277748,-296,-0.223182,8112,9.77902
87,20,3,0.110622,-24,0.0289085,-296,-0.223182,8088,9.74977
88,20,4,0.111879,-88,-0.0466693,-264,-0.184829,8144,9.81801
89,20,5,0.113136,-40,0.0100141,-280,-0.204006,8128,9.79851
90,20,6,0.114393,-64,-0.0183276,-272,-0.194417,8176,9.857
91,20,7,0.115651,-40,0.0100141,-264,-0.184829,8172,9.85212
92,21,0,0.116908,-88,-0.0466693,-296,-0.223182,8148,9.82288
93,21,1,0.118165,-40,0.0100141,-264,-0.184829,8112,9.77902
94,21,2,0.119422,-56,-0.00888039,-256,-0.17524,8068,9.7254
95,21,3,0.120679,-40,0.0100141,-240,-0.156063,8104,9.76927
96,21,4,0.121936,-64,-0.0183276,-248,-0.165652,8120,9.78876
97,21,5,0.123193,8,0.0666974,-256,-0.17524,8136,9.80826
98,21,6,0.12445,0,0.0572501,-224,-0.136887,8096,9.75952
99,21,7,0.125707,-40,0.0100141,-248,-0.165652,8072,9.73028
100,22,0,0.126964,-12,0.0430793,-244,-0.160858,8164,9.84238
