index, frame, sample, time, raw[0], cal[0]
0,10,0,0.00125163,2137,-0.0257353
1,10,1,0.00250326,2137,-0.0257353
2,10,2,0.00375489,2136,-0.0169818
3,10,3,0.00500652,2137,-0.0257353
4,10,4,0.00625815,2136,-0.0169818
5,10,5,0.00750978,2137,-0.0257353
6,10,6,0.00876141,2136,-0.0169818
7,10,7,0.010013,2137,-0.0257353
8,10,8,0.0112647,2137,-0.0257353
9,10,9,0.0125163,2137,-0.0257353
10,10,10,0.0137679,2137,-0.0257353
11,10,11,0.0150196,2137,-0.0257353
12,11,0,0.0162712,2137,-0.0257353
13,11,1,0.0175228,2137,-0.0257353
14,11,2,0.0187744,2136,-0.0169818
15,11,3,0.0200261,2137,-0.0257353
16,11,4,0.0212777,2136,-0.0169818
17,11,5,0.0225293,2137,-0.0257353
18,11,6,0.023781,2136,-0.0169818
19,11,7,0.0250326,2137,-0.0257353
20,11,8,0.0262842,2137,-0.0257353
21,11,9,0.0275359,2137,-0.0257353
22,11,10,0.0287875,2137,-0.0257353
23,11,11,0.0300391,2137,-0.0257353
24,12,0,0.0312907,2137,-0.0257353
25,12,1,0.0325424,2138,-0.0344888
26,13,0,0.033794,2137,-0.0257353
27,13,1,0.0350456,2138,-0.0344888
28,13,2,0.0362973,2137,-0.0257353
29,13,3,0.0375489,2138,-0.0344888
30,13,4,0.0388005,2137,-0.0257353
31,13,5,0.0400522,2138,-0.0344888
32,13,6,0.0413038,2137,-0.0257353
33,13,7,0.0425554,2138,-0.0344888
34,14,0,0.043807,2138,-0.0344888
35,14,1,0.0450587,2138,-0.0344888
36,14,2,0.0463103,2138,-0.0344888
37,14,3,0.0475619,2138,-0.0344888
38,14,4,0.0488136,2138,-0.0344888
39,14,5,0.0500652,2138,-0.0344888
40,14,6,0.0513168,2138,-0.0344888
41,14,7,0.0525684,2138,-0.0344888
42,15,0,0.0538201,2138,-0.0344888
43,15,1,0.0550717,2138,-0.0344888
44,15,2,0.0563233,2138,-0.0344888
45,15,3,0.057575,2138,-0.0344888
46,15,4,0.0588266,2138,-0.0344888
47,15,5,0.0600782,2138,-0.0344888
48,15,6,0.0613299,2138,-0.0344888
49,15,7,0.0625815,2139,-0.0432423
50,16,0,0.0638331,2138,-0.0344888
51,16,1,0.0650847,2139,-0.0432423
52,16,2,0.0663364,2139,-0.0432423
53,16,3,0.067588,2139,-0.0432423
54,16,4,0.0688396,2138,-0.0344888
55,16,5,0.0700913,2138,-0.0344888
56,16,6,0.0713429,2138,-0.0344888
57,16,7,0.0725945,2139,-0.0432423
58,17,0,0.0738462,2138,-0.0344888
59,17,1,0.0750978,2139,-0.0432423
60,17,2,0.0763494,2138,-0.0344888
61,17,3,0.077601,2139,-0.0432423
62,17,4,0.0788527,2139,-0.0432423
63,17,5,0.0801043,2139,-0.0432423
64,17,6,0.0813559,2138,-0.0344888
65,17,7,0.0826076,2139,-0.0432423
66,18,0,0.0838592,2139,-0.0432423
67,18,1,0.0851108,2139,-0.0432423
68,18,2,0.0863625,2139,-0.0432423
69,18,3,0.0876141,2139,-0.0432423
70,18,4,0.0888657,2139,-0.0432423
71,18,5,0.0901173,2139,-0.0432423
72,18,6,0.091369,2139,-0.0432423
73,18,7,0.0926206,2139,-0.0432423
74,19,0,0.0938722,2139,-0.0432423
