index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,15,0,0.00128617,-113,-0.128442,-38,-0.0451043,91,0.115031
1,15,1,0.00257235,-109,-0.123534,-38,-0.0451043,104,0.130982
2,15,2,0.00385852,-112,-0.127215,-43,-0.0512393,99,0.124847
3,15,3,0.00514469,-110,-0.124761,-52,-0.0622822,88,0.11135
4,15,4,0.00643087,-107,-0.12108,-46,-0.0549202,91,0.115031
5,15,5,0.00771704,-107,-0.12108,-38,-0.0451043,97,0.122393
6,15,6,0.00900322,-115,-0.130896,-42,-0.0500123,91,0.115031
7,15,7,0.0102894,-121,-0.138258,-45,-0.0536932,86,0.108896
8,15,8,0.0115756,-109,-0.123534,-41,-0.0487853,94,0.118712
9,15,9,0.0128617,-101,-0.113718,-42,-0.0500123,104,0.130982
10,15,10,0.0141479,-110,-0.124761,-51,-0.0610552,93,0.117485
11,15,11,0.0154341,-112,-0.127215,-50,-0.0598282,88,0.11135
12,15,12,0.0167203,-109,-0.123534,-31,-0.0365153,104,0.130982
13,15,13,0.0180064,-112,-0.127215,-43,-0.0512393,92,0.116258
14,15,14,0.0192926,-117,-0.13335,-53,-0.0635092,87,0.110123
15,15,15,0.0205788,-109,-0.123534,-47,-0.0561472,101,0.127301
16,16,0,0.021865,-113,-0.128442,-38,-0.0451043,91,0.115031
17,16,1,0.0231511,-109,-0.123534,-38,-0.0451043,104,0.130982
18,16,2,0.0244373,-112,-0.127215,-43,-0.0512393,99,0.124847
19,16,3,0.0257235,-110,-0.124761,-52,-0.0622822,88,0.11135
20,16,4,0.0270096,-107,-0.12108,-46,-0.0549202,91,0.115031
21,16,5,0.0282958,-107,-0.12108,-38,-0.0451043,97,0.122393
22,16,6,0.029582,-115,-0.130896,-42,-0.0500123,91,0.115031
23,16,7,0.0308682,-121,-0.138258,-45,-0.0536932,86,0.108896
24,16,8,0.0321543,-109,-0.123534,-41,-0.0487853,94,0.118712
25,16,9,0.0334405,-101,-0.113718,-42,-0.0500123,104,0.130982
26,16,10,0.0347267,-110,-0.124761,-51,-0.0610552,93,0.117485
