index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00129782,-69,-0.074454,-20,-0.0230184,148,0.184969
1,10,1,0.00259565,-67,-0.072,-19,-0.0217914,139,0.173926
2,10,2,0.00389347,-61,-0.064638,-24,-0.0279264,138,0.172699
3,10,3,0.0051913,-54,-0.0560491,-22,-0.0254724,151,0.18865
4,10,4,0.00648912,-58,-0.0609571,-11,-0.0119755,159,0.198466
5,10,5,0.00778695,-54,-0.0560491,-11,-0.0119755,164,0.204601
6,10,6,0.00908477,-52,-0.0535951,-10,-0.0107485,166,0.207055
7,10,7,0.0103826,-45,-0.0450061,-9,-0.00952147,166,0.207055
8,11,0,0.0116804,-69,-0.074454,-20,-0.0230184,148,0.184969
9,11,1,0.0129782,-67,-0.072,-19,-0.0217914,139,0.173926
10,11,2,0.0142761,-61,-0.064638,-24,-0.0279264,138,0.172699
11,11,3,0.0155739,-54,-0.0560491,-22,-0.0254724,151,0.18865
12,11,4,0.0168717,-58,-0.0609571,-11,-0.0119755,159,0.198466
13,11,5,0.0181695,-54,-0.0560491,-11,-0.0119755,164,0.204601
14,11,6,0.0194674,-52,-0.0535951,-10,-0.0107485,166,0.207055
15,11,7,0.0207652,-45,-0.0450061,-9,-0.00952147,166,0.207055
16,12,0,0.022063,-33,-0.0302822,-6,-0.00584049,170,0.211963
17,12,1,0.0233608,-30,-0.0266012,4,0.00642945,179,0.223006
18,12,2,0.0246587,-28,-0.0241472,3,0.00520245,184,0.229141
19,12,3,0.0259565,-22,-0.0167853,6,0.00888344,187,0.232822
20,12,4,0.0272543,-15,-0.00819632,14,0.0186994,189,0.235276
21,12,5,0.0285521,-10,-0.00206135,12,0.0162454,193,0.240184
22,12,6,0.02985,0,0.0102086,14,0.0186994,201,0.25
23,12,7,0.0311478,8,0.0200245,25,0.0321963,215,0.267178
24,12,8,0.0324456,14,0.0273865,36,0.0456933,219,0.272086
25,12,9,0.0337434,16,0.0298405,46,0.0579632,222,0.275767
26,13,0,0.0350413,19,0.0335215,42,0.0530552,215,0.267178
27,13,1,0.0363391,30,0.0470184,41,0.0518282,215,0.267178
28,13,2,0.0376369,36,0.0543804,48,0.0604172,211,0.26227
29,13,3,0.0389347,38,0.0568344,53,0.0665521,215,0.267178
30,13,4,0.0402326,40,0.0592883,54,0.0677791,208,0.258589
31,14,0,0.0415304,46,0.0666503,57,0.0714601,208,0.258589
32,14,1,0.0428282,50,0.0715583,54,0.0677791,202,0.251227
33,14,2,0.044126,52,0.0740123,59,0.0739141,199,0.247546
34,14,3,0.0454239,50,0.0715583,61,0.0763681,191,0.23773
35,14,4,0.0467217,48,0.0691043,69,0.086184,194,0.241411
36,14,5,0.0480195,49,0.0703313,60,0.0751411,201,0.25
37,14,6,0.0493173,50,0.0715583,66,0.0825031,186,0.231595
38,14,7,0.0506152,55,0.0776933,72,0.089865,176,0.219325
39,15,0,0.051913,62,0.0862822,71,0.088638,172,0.214417
40,15,1,0.0532108,70,0.0960982,71,0.088638,160,0.199693
41,15,2,0.0545086,64,0.0887362,73,0.091092,160,0.199693
42,15,3,0.0558065,63,0.0875092,83,0.103362,153,0.191104
43,15,4,0.0571043,69,0.0948712,81,0.100908,151,0.18865
44,15,5,0.0584021,66,0.0911902,75,0.093546,140,0.175153
45,15,6,0.0596999,59,0.0826012,77,0.096,134,0.167791
46,15,7,0.0609977,54,0.0764663,76,0.094773,131,0.16411
47,16,0,0.0622956,26,0.0421104,54,0.0677791,53,0.0684049
48,16,1,0.0635934,10,0.0224785,32,0.0407853,26,0.0352761
49,16,2,0.0648912,3,0.0138896,19,0.0248344,3,0.00705521
50,16,3,0.066189,-4,0.00530061,11,0.0150184,-10,-0.00889571
51,16,4,0.0674869,-12,-0.00451534,3,0.00520245,-12,-0.0113497
52,16,5,0.0687847,-17,-0.0106503,3,0.00520245,-19,-0.0199386
53,16,6,0.0700825,-17,-0.0106503,1,0.00274847,-20,-0.0211656
54,17,0,0.0713803,26,0.0421104,54,0.0677791,53,0.0684049
55,17,1,0.0726782,10,0.0224785,32,0.0407853,26,0.0352761
56,17,2,0.073976,3,0.0138896,19,0.0248344,3,0.00705521
57,17,3,0.0752738,-4,0.00530061,11,0.0150184,-10,-0.00889571
58,17,4,0.0765716,-12,-0.00451534,3,0.00520245,-12,-0.0113497
59,17,5,0.0778695,-17,-0.0106503,3,0.00520245,-19,-0.0199386
60,17,6,0.0791673,-17,-0.0106503,1,0.00274847,-20,-0.0211656
61,18,0,0.0804651,-16,-0.00942331,7,0.0101104,-18,-0.0187117
62,18,1,0.0817629,-12,-0.00451534,8,0.0113374,-10,-0.00889571
63,18,2,0.0830608,-10,-0.00206135,6,0.00888344,-10,-0.00889571
64,18,3,0.0843586,-6,0.00284663,3,0.00520245,-14,-0.0138037
65,18,4,0.0856564,-8,0.000392638,9,0.0125644,-11,-0.0101227
66,18,5,0.0869542,-15,-0.00819632,15,0.0199264,-6,-0.00398773
67,18,6,0.0882521,-11,-0.00328834,13,0.0174724,-5,-0.00276074
68,18,7,0.0895499,-7,0.00161963,8,0.0113374,0,0.00337423
69,19,0,0.0908477,-4,0.00530061,13,0.0174724,-10,-0.00889571
70,19,1,0.0921455,-9,-0.000834356,16,0.0211534,-12,-0.0113497
71,19,2,0.0934434,0,0.0102086,11,0.0150184,-11,-0.0101227
72,19,3,0.0947412,-1,0.00898159,9,0.0125644,2,0.00582822
73,19,4,0.096039,-2,0.0077546,7,0.0101104,10,0.0156442
74,19,5,0.0973368,0,0.0102086,7,0.0101104,-1,0.00214724
75,19,6,0.0986347,-11,-0.00328834,7,0.0101104,-2,0.000920245
76,19,7,0.0999325,-14,-0.00696933,14,0.0186994,-5,-0.00276074
77,20,0,0.10123,-8,0.000392638,12,0.0162454,-5,-0.00276074
78,20,1,0.102528,-6,0.00284663,15,0.0199264,-8,-0.00644172
79,20,2,0.103826,-8,0.000392638,18,0.0236074,-11,-0.0101227
80,20,3,0.105124,-13,-0.00574233,16,0.0211534,-4,-0.00153374
81,20,4,0.106422,-6,0.00284663,13,0.0174724,-6,-0.00398773
82,20,5,0.107719,2,0.0126626,13,0.0174724,-3,-0.000306748
83,20,6,0.109017,7,0.0187975,25,0.0321963,-1,0.00214724
84,21,0,0.110315,0,0.0102086,28,0.0358773,-8,-0.00644172
85,21,1,0.111613,-1,0.00898159,25,0.0321963,-1,0.00214724
86,21,2,0.112911,-3,0.00652761,25,0.0321963,-2,0.000920245
87,21,3,0.114209,-2,0.0077546,22,0.0285153,-3,-0.000306748
88,21,4,0.115506,-1,0.00898159,20,0.0260614,-9,-0.00766871
89,21,5,0.116804,5,0.0163436,15,0.0199264,-12,-0.0113497
90,21,6,0.118102,-10,-0.00206135,17,0.0223804,-8,-0.00644172
91,21,7,0.1194,-8,0.000392638,24,0.0309693,-8,-0.00644172
92,22,0,0.120698,2,0.0126626,25,0.0321963,-8,-0.00644172
93,22,1,0.121995,5,0.0163436,30,0.0383313,-4,-0.00153374
94,22,2,0.123293,1,0.0114356,30,0.0383313,-8,-0.00644172
95,22,3,0.124591,-2,0.0077546,34,0.0432393,-7,-0.00521472
96,22,4,0.125889,2,0.0126626,32,0.0407853,-4,-0.00153374
97,22,5,0.127187,3,0.0138896,29,0.0371043,1,0.00460123
98,22,6,0.128485,4,0.0151166,25,0.0321963,0,0.00337423
